antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"CH:UC52X5wxOL_s5yw0dQk7NtgA, CH:UCeY0bbntWzzVIaj2z3QigXg, CH:UCuFFtHWoLl5fauMMD5Ww2jA","CH:UC2x_qNZXKDxNP1j4jvHATRQ, CH:UC5T7D-Dh1eDGtsAFCuwv_Sw",0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,1.0,827.0,1.0,0.0012077277027293769,inf,1.0,1.0,1.0,1.0
"CH:UC52X5wxOL_s5yw0dQk7NtgA, CH:UC5T7D-Dh1eDGtsAFCuwv_Sw, CH:UCeY0bbntWzzVIaj2z3QigXg","CH:UC2x_qNZXKDxNP1j4jvHATRQ, CH:UCuFFtHWoLl5fauMMD5Ww2jA",0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,1.0,827.0,1.0,0.0012077277027293769,inf,1.0,1.0,1.0,1.0
"CH:UC5T7D-Dh1eDGtsAFCuwv_Sw, CH:UCeY0bbntWzzVIaj2z3QigXg, CH:UCuFFtHWoLl5fauMMD5Ww2jA","CH:UC2x_qNZXKDxNP1j4jvHATRQ, CH:UC52X5wxOL_s5yw0dQk7NtgA",0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,1.0,827.0,1.0,0.0012077277027293769,inf,1.0,1.0,1.0,1.0
"CH:UC2x_qNZXKDxNP1j4jvHATRQ, CH:UC52X5wxOL_s5yw0dQk7NtgA","CH:UC5T7D-Dh1eDGtsAFCuwv_Sw, CH:UCeY0bbntWzzVIaj2z3QigXg, CH:UCuFFtHWoLl5fauMMD5Ww2jA",0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,1.0,827.0,1.0,0.0012077277027293769,inf,1.0,1.0,1.0,1.0
"CH:UC2x_qNZXKDxNP1j4jvHATRQ, CH:UCuFFtHWoLl5fauMMD5Ww2jA","CH:UC52X5wxOL_s5yw0dQk7NtgA, CH:UC5T7D-Dh1eDGtsAFCuwv_Sw, CH:UCeY0bbntWzzVIaj2z3QigXg",0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,1.0,827.0,1.0,0.0012077277027293769,inf,1.0,1.0,1.0,1.0
"CH:UC2x_qNZXKDxNP1j4jvHATRQ, CH:UC5T7D-Dh1eDGtsAFCuwv_Sw","CH:UC52X5wxOL_s5yw0dQk7NtgA, CH:UCeY0bbntWzzVIaj2z3QigXg, CH:UCuFFtHWoLl5fauMMD5Ww2jA",0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,1.0,827.0,1.0,0.0012077277027293769,inf,1.0,1.0,1.0,1.0
"CH:UC_vFLohxs5PkAxlk7Y6jEtw, CH:UCeY0bbntWzzVIaj2z3QigXg, CH:UCoMdktPbSTixAyNGwb-UYkQ","CH:UCXIJgqnII2ZOINSWNOGFThA, CH:UCx6h-dWzJ5NpAlja1YsApdg",0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,1.0,827.0,1.0,0.0012077277027293769,inf,1.0,1.0,1.0,1.0
"CH:UCeY0bbntWzzVIaj2z3QigXg, CH:UCoMdktPbSTixAyNGwb-UYkQ, CH:UCx6h-dWzJ5NpAlja1YsApdg","CH:UCXIJgqnII2ZOINSWNOGFThA, CH:UC_vFLohxs5PkAxlk7Y6jEtw",0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,1.0,827.0,1.0,0.0012077277027293769,inf,1.0,1.0,1.0,1.0
"CH:UCXIJgqnII2ZOINSWNOGFThA, CH:UCeY0bbntWzzVIaj2z3QigXg, CH:UCoMdktPbSTixAyNGwb-UYkQ","CH:UC_vFLohxs5PkAxlk7Y6jEtw, CH:UCx6h-dWzJ5NpAlja1YsApdg",0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,1.0,827.0,1.0,0.0012077277027293769,inf,1.0,1.0,1.0,1.0
"CH:UCXIJgqnII2ZOINSWNOGFThA, CH:UC_vFLohxs5PkAxlk7Y6jEtw, CH:UCoMdktPbSTixAyNGwb-UYkQ","CH:UCeY0bbntWzzVIaj2z3QigXg, CH:UCx6h-dWzJ5NpAlja1YsApdg",0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,1.0,827.0,1.0,0.0012077277027293769,inf,1.0,1.0,1.0,1.0
"CH:UCXIJgqnII2ZOINSWNOGFThA, CH:UC_vFLohxs5PkAxlk7Y6jEtw, CH:UCeY0bbntWzzVIaj2z3QigXg","CH:UCoMdktPbSTixAyNGwb-UYkQ, CH:UCx6h-dWzJ5NpAlja1YsApdg",0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,1.0,827.0,1.0,0.0012077277027293769,inf,1.0,1.0,1.0,1.0
"CH:UCoMdktPbSTixAyNGwb-UYkQ, CH:UCx6h-dWzJ5NpAlja1YsApdg","CH:UCXIJgqnII2ZOINSWNOGFThA, CH:UC_vFLohxs5PkAxlk7Y6jEtw, CH:UCeY0bbntWzzVIaj2z3QigXg",0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,1.0,827.0,1.0,0.0012077277027293769,inf,1.0,1.0,1.0,1.0
"CH:UCeY0bbntWzzVIaj2z3QigXg, CH:UCx6h-dWzJ5NpAlja1YsApdg","CH:UCXIJgqnII2ZOINSWNOGFThA, CH:UC_vFLohxs5PkAxlk7Y6jEtw, CH:UCoMdktPbSTixAyNGwb-UYkQ",0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,1.0,827.0,1.0,0.0012077277027293769,inf,1.0,1.0,1.0,1.0
